Date & Time	Document	Draft	Total Words	Average Sentence	Rating	Passive Index	Rating	Style Index	Rating	Bog Index	Rating	Reading Grade	Rating	Jargon	Rating	Glue	Rating	Pep	Rating	Task	Audience	Author
06 Aug 2019 11:12	10116_09102010_09132010.docx	Original	167	37.8	Bad	25	Fair	149	Dreadful	95	Poor	18.8	Very Difficult	4.2	Bad	32	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 12:41	10517_08252005_08312005.docx	Original	476	21.3	Fair	23	Fair	86	Poor	68	Fair	13.0	Fairly Difficult	0.8	Excellent	42	Fair	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 12:41	11278_04182005_05032005.docx	Original	181	28.7	Bad	33	Fair	143	Dreadful	71	Poor	15.5	Difficult	2.2	Fair	45	Wordy	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 12:41	11641_01062005_01062005.docx	Original	125	13.9	Excellent	13	Good	32	Good	52	Fair	9.7	Fairly Easy	3.2	Poor	34	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 12:41	11641_08262011_08272011.docx	Original	152	14.2	Excellent	11	Good	46	Fair	48	Fair	11.0	Standard	2.6	Fair	28	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 12:42	11641_12102012_12112012.docx	Original	167	15.9	Excellent	11	Good	53	Fair	41	Fair	10.9	Fairly Easy	1.8	Good	32	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 12:42	11754_02102012_02292012.docx	Original	244	26.1	Bad	33	Fair	118	Bad	62	Fair	14.0	Fairly Difficult	2.9	Fair	43	Fair	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 12:42	11850_08292005_08302005.docx	Original	203	21.7	Fair	0	Excellent	39	Good	48	Fair	12.4	Standard	2.5	Fair	36	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 12:42	11850_08292005_09012005.docx	Original	216	24.9	Poor	25	Fair	60	Fair	70	Fair	15.3	Difficult	4.2	Bad	35	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 12:42	11850_08292005_09022005_1.docx	Original	369	20.8	Good	18	Good	84	Poor	59	Fair	14.2	Fairly Difficult	2.7	Fair	37	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 12:43	11850_08292005_09022005_2.docx	Original	247	21.7	Fair	18	Good	72	Poor	63	Fair	13.5	Fairly Difficult	3.2	Poor	35	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 12:43	11850_08292005_09062005.docx	Original	227	24.3	Poor	11	Good	79	Poor	53	Fair	13.3	Fairly Difficult	3.1	Poor	33	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 12:43	11850_08292005_09072005.docx	Original	147	19.0	Good	14	Good	47	Fair	54	Fair	13.4	Fairly Difficult	1.4	Good	29	Concise	10	Fair	General Writing	Public	Damon Hao
